电影名称,评分,上映时间,导演,链接信息
虎口脱险,8.9,1966,热拉尔·乌里,https://movie.douban.com/subject/1296909/
未麻的部屋,8.9,1997,今敏,https://movie.douban.com/subject/1395091/
海洋,9.1,2009,雅克·贝汉,https://movie.douban.com/subject/3443389/
模仿游戏,8.6,2014,莫滕·泰杜姆,https://movie.douban.com/subject/10463953/
爆裂鼓手,8.7,2014,达米恩·查泽雷,https://movie.douban.com/subject/25773932/
雨中曲,9.0,1952,斯坦利·多南,https://movie.douban.com/subject/1293460/
一个叫欧维的男人决定去死,8.8,2015,汉内斯·赫尔姆,https://movie.douban.com/subject/26628357/
忠犬八公物语,9.1,1987,神山征二郎,https://movie.douban.com/subject/1959195/
燃情岁月,8.8,1994,爱德华·兹威克,https://movie.douban.com/subject/1295865/
人工智能,8.6,2001,史蒂文·斯皮尔伯格,https://movie.douban.com/subject/1302827/
天书奇谭,9.2,1983,王树忱,https://movie.douban.com/subject/1428581/
魔女宅急便,8.6,1989,宫崎骏,https://movie.douban.com/subject/1307811/
房间,8.8,2015,伦尼·阿伯拉罕森,https://movie.douban.com/subject/25724855/
穿越时空的少女,8.6,2006,细田守,https://movie.douban.com/subject/1937946/
黑客帝国3：矩阵革命,8.7,2003,莉莉·沃卓斯基,https://movie.douban.com/subject/1302467/
恐怖游轮,8.4,2009,克里斯托弗·史密斯,https://movie.douban.com/subject/3011051/
海街日记,8.7,2015,是枝裕和,https://movie.douban.com/subject/25895901/
魂断蓝桥,8.8,1940,茂文·勒鲁瓦,https://movie.douban.com/subject/1293964/
头号玩家,8.7,2018,史蒂文·斯皮尔伯格,https://movie.douban.com/subject/4920389/
猜火车,8.5,1996,丹尼·博伊尔,https://movie.douban.com/subject/1292528/
完美陌生人,8.5,2016,保罗·杰诺维塞,https://movie.douban.com/subject/26614893/
罗生门,8.8,1950,黑泽明,https://movie.douban.com/subject/1291879/
惊魂记,8.9,1960,阿尔弗雷德·希区柯克,https://movie.douban.com/subject/1293181/
功夫,8.4,2004,周星驰,https://movie.douban.com/subject/1291543/
阿飞正传,8.5,1990,王家卫,https://movie.douban.com/subject/1305690/
香水,8.5,2006,汤姆·提克威,https://movie.douban.com/subject/1760622/
可可西里,8.7,2004,陆川,https://movie.douban.com/subject/1308857/
谍影重重2,8.6,2004,保罗·格林格拉斯,https://movie.douban.com/subject/1308767/
牯岭街少年杀人事件,8.8,1991,杨德昌,https://movie.douban.com/subject/1292329/
朗读者,8.5,2008,史蒂芬·戴德利,https://movie.douban.com/subject/2213597/
浪潮,8.7,2008,丹尼斯·甘塞尔,https://movie.douban.com/subject/2297265/
谍影重重,8.6,2002,道格·里曼,https://movie.douban.com/subject/1304102/
疯狂的石头,8.4,2006,宁浩,https://movie.douban.com/subject/1862151/
战争之王,8.6,2005,安德鲁·尼科尔,https://movie.douban.com/subject/1419936/
地球上的星星,8.9,2007,阿米尔·汗,https://movie.douban.com/subject/2363506/
初恋这件小事,8.3,2010,普特鹏·普罗萨卡·那·萨克那卡林,https://movie.douban.com/subject/4739952/
青蛇,8.5,1993,徐克,https://movie.douban.com/subject/1303394/
终结者2：审判日,8.6,1991,詹姆斯·卡梅隆,https://movie.douban.com/subject/1291844/
奇迹男孩,8.6,2017,斯蒂芬·卓博斯基,https://movie.douban.com/subject/26787574/
爱在午夜降临前,8.8,2013,理查德·林克莱特,https://movie.douban.com/subject/10808442/
源代码,8.4,2011,邓肯·琼斯,https://movie.douban.com/subject/3075287/
新龙门客栈,8.6,1992,李惠民,https://movie.douban.com/subject/1292287/
步履不停,8.8,2008,是枝裕和,https://movie.douban.com/subject/2222996/
小萝莉的猴神大叔,8.5,2015,卡比尔·汗,https://movie.douban.com/subject/26393561/
无耻混蛋,8.5,2009,昆汀·塔伦蒂诺,https://movie.douban.com/subject/1438652/
釜山行,8.4,2016,延尚昊,https://movie.douban.com/subject/25986180/
再次出发之纽约遇见你,8.5,2013,约翰·卡尼,https://movie.douban.com/subject/6874403/
一次别离,8.7,2011,阿斯哈·法哈蒂,https://movie.douban.com/subject/5964718/
追随,8.9,1998,克里斯托弗·诺兰,https://movie.douban.com/subject/1397546/
新世界,8.7,2013,朴勋政,https://movie.douban.com/subject/10437779/
血钻,8.6,2006,爱德华·兹威克,https://movie.douban.com/subject/1428175/
彗星来的那一夜,8.5,2013,詹姆斯·沃德·布柯特,https://movie.douban.com/subject/25807345/
2001太空漫游,8.7,1968,斯坦利·库布里克,https://movie.douban.com/subject/1292226/
城市之光,9.3,1931,查理·卓别林,https://movie.douban.com/subject/1293908/
东京物语,9.2,1953,小津安二郎,https://movie.douban.com/subject/1291568/
绿里奇迹,8.7,1999,弗兰克·德拉邦特,https://movie.douban.com/subject/1300374/
撞车,8.6,2004,保罗·哈吉斯,https://movie.douban.com/subject/1388216/
梦之安魂曲,8.7,2000,达伦·阿伦诺夫斯基,https://movie.douban.com/subject/1292270/
疯狂的麦克斯4：狂暴之路,8.6,2015,乔治·米勒,https://movie.douban.com/subject/3592854/
聚焦,8.8,2015,汤姆·麦卡锡,https://movie.douban.com/subject/25954475/
E.T. 外星人,8.6,1982,史蒂文·斯皮尔伯格,https://movie.douban.com/subject/1294638/
黑鹰坠落,8.6,2001,雷德利·斯科特,https://movie.douban.com/subject/1291824/
这个男人来自地球,8.5,2007,理查德·沙因克曼,https://movie.douban.com/subject/2300586/
末路狂花,8.7,1991,雷德利·斯科特,https://movie.douban.com/subject/1291992/
遗愿清单,8.6,2007,罗伯·莱纳,https://movie.douban.com/subject/1867345/
发条橙,8.5,1971,斯坦利·库布里克,https://movie.douban.com/subject/1292233/
变脸,8.4,1997,吴宇森,https://movie.douban.com/subject/1292659/
国王的演讲,8.4,2010,汤姆·霍珀,https://movie.douban.com/subject/4023638/
我爱你,9.0,2011,秋昌旼,https://movie.douban.com/subject/5908478/
勇闯夺命岛,8.6,1996,迈克尔·贝,https://movie.douban.com/subject/1292728/
千钧一发,8.7,1997,安德鲁·尼科尔,https://movie.douban.com/subject/1300117/
哈利·波特与密室,8.4,2002,克里斯·哥伦布,https://movie.douban.com/subject/1296996/
哈利·波特与阿兹卡班的囚徒,8.5,2004,阿方索·卡隆,https://movie.douban.com/subject/1291544/
黄金三镖客,9.1,1966,赛尔乔·莱昂内,https://movie.douban.com/subject/1401118/
非常嫌疑犯,8.6,1995,布莱恩·辛格,https://movie.douban.com/subject/1292214/
驴得水,8.3,2016,周申,https://movie.douban.com/subject/25921812/
秒速5厘米,8.3,2007,新海诚,https://movie.douban.com/subject/2043546/
